Timestamp;;Energy;;Volume;;HourCounter;;TempForward;;TempReturn;;Power;;Flow;;;;;;ForwardedUsage;;ReturnedUsage;;;;;;ColumnX;;
27-02-2020 23.59;;3179,5;MWh;56387,8;M3;6048;h;90,7;c;38,1;c;982,4;kW;16650;l/h;0;;0;;5407,9;MWh;2228,3;MWh;0;;0;;0;d;IZAR Plus Portal
27-02-2020 23.59;;12178;MWh;366869;M3;14976;h;57,8;c;31,4;c;0,2;kW;8;l/h;0;;0;;24199;MWh;12021;MWh;0;;0;;181;d;IZAR Plus Portal
27-02-2020 23.59;;19661;MWh;695487;M3;16392;h;63,2;c;45,4;c;2,5;kW;124;l/h;0;;0;;48181;MWh;28,52;MWh;0;;0;;123;d;IZAR Plus Portal
27-02-2020 23.35;;8592;MWh;290605;M3;14808;h;59,9;c;22,4;c;1,2;kW;27;l/h;0;;0;;19044;MWh;10451;MWh;0;;0;;189;d;IZAR Plus Portal
27-02-2020 23.07;;13945;MWh;403497;M3;14808;h;61,2;c;25,6;c;1,5;kW;36;l/h;0;;0;;27641;MWh;13696;MWh;0;;0;;189;d;IZAR Plus Portal
27-02-2020 23.58;;15;MWh;387685;M3;16680;h;62,5;c;25,4;c;1,9;kW;46;l/h;0;;0;;26861;MWh;11861;MWh;0;;0;;110;d;IZAR Plus Portal
27-02-2020 23.58;;13274;MWh;504379;M3;14976;h;63,8;c;47,2;c;2,6;kW;137;l/h;0;;0;;36389;MWh;23115;MWh;0;;0;;182;d;IZAR Plus Portal
27-02-2020 23.58;;11971;MWh;347939;M3;17064;h;62,8;c;34;c;1,8;kW;54;l/h;0;;0;;23755;MWh;11784;MWh;0;;0;;94;d;IZAR Plus Portal
27-02-2020 23.59;;12511;MWh;353787;M3;14328;h;61;c;24,4;c;1,7;kW;40;l/h;0;;0;;23908;MWh;11397;MWh;0;;0;;209;d;IZAR Plus Portal
27-02-2020 23.53;;17456;MWh;494915;M3;17256;h;62,4;c;30,8;c;2,3;kW;63;l/h;0;;0;;33128;MWh;15672;MWh;0;;0;;87;d;IZAR Plus Portal
27-02-2020 23.36;;16045;MWh;453437;M3;16680;h;62,6;c;26,3;c;1,7;kW;41;l/h;0;;0;;31181;MWh;15136;MWh;0;;0;;110;d;IZAR Plus Portal
27-02-2020 23.55;;17231;MWh;509,35;M3;16728;h;60,9;c;26,6;c;1,6;kW;40;l/h;0;;0;;34575;MWh;17343;MWh;0;;0;;109;d;IZAR Plus Portal
27-02-2020 23.59;;17285;MWh;571244;M3;16872;h;62,7;c;42,3;c;1,9;kW;83;l/h;0;;0;;39582;MWh;22297;MWh;0;;0;;103;d;IZAR Plus Portal
27-02-2020 23.52;;14583;MWh;415011;M3;17232;h;61,2;c;27,8;c;2;kW;54;l/h;0;;0;;27428;MWh;12844;MWh;0;;0;;87;d;IZAR Plus Portal
27-02-2020 23.59;;15,6;MWh;622266;M3;16416;h;57,3;c;30,7;c;0,5;kW;16;l/h;0;;0;;41396;MWh;25796;MWh;0;;0;;122;d;IZAR Plus Portal
27-02-2020 23.58;;13724;MWh;478134;M3;16344;h;63,6;c;48,6;c;2,5;kW;148;l/h;0;;0;;33732;MWh;20008;MWh;0;;0;;125;d;IZAR Plus Portal
27-02-2020 23.57;;12127;MWh;370145;M3;16680;h;61,6;c;28,1;c;1,2;kW;34;l/h;0;;0;;24874;MWh;12746;MWh;0;;0;;111;d;IZAR Plus Portal
27-02-2020 23.52;;18287;MWh;478934;M3;17544;h;62,7;c;27;c;2,6;kW;65;l/h;0;;0;;33094;MWh;14807;MWh;0;;0;;75;d;IZAR Plus Portal
27-02-2020 23.58;;16,43;MWh;458795;M3;17208;h;61,5;c;25,8;c;2,2;kW;54;l/h;0;;0;;30843;MWh;14412;MWh;0;;0;;89;d;IZAR Plus Portal
27-02-2020 23.59;;12531;MWh;419603;M3;14784;h;60,8;c;26,2;c;1,5;kW;38;l/h;0;;0;;28132;MWh;15601;MWh;0;;0;;190;d;IZAR Plus Portal
27-02-2020 23.59;;11284;MWh;398625;M3;14592;h;66,4;c;51,2;c;2,5;kW;147;l/h;0;;0;;29019;MWh;17734;MWh;0;;0;;197;d;IZAR Plus Portal
27-02-2020 23.40;;11449;MWh;442441;M3;14952;h;59,5;c;35,3;c;1,6;kW;58;l/h;0;;0;;27906;MWh;16456;MWh;0;;0;;183;d;IZAR Plus Portal
27-02-2020 23.39;;15064;MWh;438662;M3;16608;h;60,9;c;24,6;c;1,9;kW;47;l/h;0;;0;;29129;MWh;14064;MWh;0;;0;;114;d;IZAR Plus Portal
27-02-2020 23.59;;15993;MWh;505158;M3;16752;h;59,9;c;26,2;c;1,8;kW;46;l/h;0;;0;;32738;MWh;16744;MWh;0;;0;;108;d;IZAR Plus Portal
27-02-2020 23.57;;14819;MWh;456603;M3;17040;h;60,9;c;22,5;c;2,1;kW;48;l/h;0;;0;;30261;MWh;15442;MWh;0;;0;;96;d;IZAR Plus Portal
